old_path,new_path,redirect_type
/,/,301
/%f0%9f%9a%80-professional-insight-and-cautionary-advice-for-fellow-programmers-and-freelancers/,/blog/%f0%9f%9a%80-professional-insight-and-cautionary-advice-for-fellow-programmers-and-freelancers/,301
/artificial-intelligence-in-business-decision-making-the-future-of-corporate-strategy/,/blog/artificial-intelligence-in-business-decision-making-the-future-of-corporate-strategy/,301
/blog/,/blog/,301
/contact/,/contact/,301
/portfolio/buddy-system/,/portfolio/buddy-system/,301
/portfolio/cxm-direct-mall/,/portfolio/cxm-direct-mall/,301
/portfolio/cxm-group-china-mall/,/portfolio/cxm-group-china-mall/,301
/portfolio/innolab-global/,/portfolio/innolab-global/,301
/portfolio/my-pet-nexus/,/portfolio/my-pet-nexus/,301
/portfolio/online-form-for-dentrix-and-hop/,/portfolio/online-form-for-dentrix-and-hop/,301
/portfolio/reach-out-malaysia/,/portfolio/reach-out-malaysia/,301
/portfolio/superpowered/,/portfolio/superpowered/,301
/privacy-policy/,/privacy-policy/,301
/the-reality-of-layoffs-in-corporate-culture-a-personal-reflection/,/blog/the-reality-of-layoffs-in-corporate-culture-a-personal-reflection/,301
/works/,/works/,301
